Year,Total,Black,White,Hispanic,Other
1965,195715,95301,87727,,12687
1966,198308,97625,86141,,14544
1967,198974,102043,82277,,14654
1968,256094,138850,96918,,20326
1969,264850,143548,97817,,23496
1970,265444,,,,
1971,280222,,,,
1972,275335,,,,
1973,265208,162411,78009,,21470
1974,288505,180265,79374,,25735
1975,333668,212210,86482,,31762
1976,288415,187785,70382,,28558
1977,258771,171628,58815,,27609
1978,278814,187034,61933,,29061
1979,295459,192886,68397,,33278
1980,317774,206573,71428,,38687
1981,336153,234147,99761,28777,
1982,412965,289440,121716,43668,
1983,301863,211382,89138,31950,
1984,260893,178623,80384,30679,
1985,246640,165618,78740,33897,
1986,229309,159206,68821,31505,
1987,226139,161896,62971,,
1988,255654,178417,75692,,
1989,276912,196112,78885,,
1990,306367,213300,90511,,
1991,316551,221843,92303,,
1992,306369,215767,88412,,
1993,294765,207993,84410,45998,
1994,294631,203586,85970,42782,
1995,305255,214201,88927,53783,
1996,301852,211715,88005,,
1997,292147,203433,86534,,
1998,227773,190006,36522,,
1999,268132,187505,31639,46935,
2000,2528082,177017,29632,44319,
2001,233455,164420,26959,40296,
2002,237706,168399,26206,41235,
2003,238961,168124,26319,42649,
2004,244193,175598,24616,42227,
2005,238636,170803,23581,42299,
2006,227727,163246,21540,40920,
2007,221915,159474,20592,40041,
2008,196613,141258,17744,36007,
2009,181669,130082,16141,33924,
2010,167541,120189,14566,31395,
2017,83598,61702,6881,14300,
2018,85663,62901,7060,14965,
2019,90606,65872,7243,16065,
